component,label
1,"""Bodycam Footage Highlighting Police Interactions and Narcotics Investigations"""
2,"""Humorous Commentary and Personal Drama Content"""
3,"""Humorous Skits and Inside Jokes on 'Bop House' Community"""
4,"""Motivational Challenges and Personal Responsibility Discussions"""
5,"""Humorous Podcasts and Political Updates Cluster"""
6,"""Podcasts, Lifestyle, Gaming, and Music Trivia Content Cluster"""
7,"""Latino Pop Culture Nostalgia and Political Commentary"""
8,"""Service Industry Stories and Bartender Experiences"""
9,Personal Drama and Storytime Narratives
10,"""Personal Storytelling and Relatable Life Experiences"""
11,"""Humorous Trends and Cultural Discussions Across Languages"""
12,"""Fan Edits and Clips of Cash and Maverick Baker"""
13,"""Humorous Podcast Clips with Anecdotes and Life Reflections"""
