component,label
1,Local News on Mosque Collapse (ID)
2,Local News on Mosque Collapse (ID)
3,Bad Bunny Super Bowl News (EN)
4,Bad Bunny Super Bowl News (ES)
5,Bad Bunny Super Bowl News (EN)
6,Bad Bunny Super Bowl News (EN)
7,Bad Bunny Super Bowl News (EN)
8,Bad Bunny Super Bowl News (EN)
9,Bad Bunny Super Bowl News (EN)
10,Bad Bunny Super Bowl News (EN)
11,Bad Bunny Super Bowl News (EN)
12,Bad Bunny Super Bowl News (EN)
13,Radio Pranks and Music News (EN)
14,Bad Bunny Super Bowl News (ES)
15,Bad Bunny Super Bowl News (EN)
16,Bad Bunny Super Bowl News (EN)
17,Blackpink Concert Fan Content (EN)
18,Blackpink Concert Content (EN)
19,Blackpink Concert Fan Content (EN)
20,Blackpink Concert Content (EN)
21,Blackpink Concert Fan Content (EN)
22,Concert Content Featuring Blackpink (EN)
23,Blackpink Concert Fan Content (EN)
24,Storytelling and Movie Analysis (EN)
25,Classic Movie Scenes and Analysis (EN)
26,Surreal Storytelling and Mosque News (EN)
27,Surreal Storytelling and Drama (ID)
28,Mosque Collapse News Coverage (ID)
29,Local News and Fiction Narratives (ID)
30,Hurricane Updates and Fictional Narratives (EN)
31,Blackpink Concert Content (EN)
32,Blackpink Concert Fan Content (EN)
33,Blackpink Concert Content (EN)
34,Blackpink Concert Fan Content (EN)
35,Bad Bunny Super Bowl News (EN)
36,Bad Bunny Super Bowl News (EN)
37,Bad Bunny Super Bowl News (EN)
38,Bad Bunny Super Bowl News (EN)
39,Bad Bunny Super Bowl News (EN)
40,Bad Bunny Super Bowl News (ES)
41,Bad Bunny News and Fictional Stories (EN)
42,Supernatural and Sci-Fi Narratives (EN)
43,Dramatic Storytelling and News Updates (EN)
44,Bad Bunny Super Bowl News (EN)
