component,label
1,Local News on Mosque Collapse (ID)
2,Local News on Mosque Collapse (ID)
3,Bad Bunny Super Bowl News (EN)
4,Bad Bunny Super Bowl News (EN)
5,Super Bowl News and Fictional Stories (EN)
6,Bad Bunny Super Bowl News (ES)
7,Crime Fiction Narratives (EN)
8,La Liga Season Broadcast Promotion (EN)
9,La Liga Season Coverage (EN)
10,Dramatic Storytelling and Concert Promotion (EN)
11,Sports News and Fictional Stories (EN)
12,Classic Movie Scenes and Analysis (EN)
13,Mosque Collapse News Coverage (ID)
14,Mosque Collapse News Coverage (ID)
15,Mosque Collapse News Coverage (ID)
16,Local News and Relationship Commentary (EN)
17,Mosque Collapse News Coverage (ID)
18,Mosque Collapse News Coverage (ID)
19,Fictional Storytelling and Narratives (EN)
20,Fictional Storytelling and Narratives (EN)
