component,label
1,Viral Video Appeal for Review (EN)
2,Viral Video Promotion Requests (EN)
3,Sports and Historical Anecdotes (EN)
4,Diverse Personal Stories and Sports Updates (EN)
5,Diverse Topics and Sports Highlights (EN)
6,Sports News and Updates (EN)
7,Sports and Customer Service Stories (EN)
8,Sports News and Rumors (EN)
9,Basketball Stories and Tributes (EN)
10,Basketball Trivia and Stories (EN)
11,Basketball Stories and Trivia (EN)
12,Sports and Entertainment Commentary (EN)
13,Football Match Highlights (EN)
14,Football Match Highlights (EN)
15,Sports and Personal Stories (EN)
16,Police Encounters and Football Updates (EN)
17,Police Encounters and Traffic Stops (EN)
18,Police Encounters and Legal Disputes (EN)
19,Sports and Viral Stories (EN)
20,Chelsea Football Victory Celebration (EN)
21,Emotional Storytelling Narratives (EN)
22,Relatable Storytelling and Humor (EN)
23,Basketball Stories and Commentary (EN)
24,Basketball Commentary and Stories (EN)
25,Humorous Conversations and Sports Updates (EN)
26,Football Highlights and Commentary (EN)
27,Sports and Gaming Highlights (EN)
28,Sports and Relationship Stories (EN)
29,Viral Incidents and Controversies (EN)
30,Relationship Dilemmas and Advice (EN)
31,Content Review Requests (EN)
32,Viral Video Promotion Requests (EN)
33,Baseball Trade Updates (EN)
34,Baseball Trade Updates (EN)
35,Sports and News Updates (EN)
36,Appeal Against Video Review (EN)
37,Appeals Against Video Review (EN)
38,Appeal Against Video Review (EN)
39,Skincare and Pedicure Content (EN)
40,Skincare and Pedicure Content (EN)
41,Skincare and Pedicure Content (EN)
42,Skincare and Pedicure Content (EN)
43,Skincare and Pedicure Content (EN)
44,Skincare and Pedicure Content (EN)
45,Skincare and Pedicure Content (EN)
46,Conspiracy Theories and Local News (EN)
47,Conspiracy Theories and Crime Stories (EN)
48,Crime and Mystery Narratives (EN)
49,Conspiracy Theories and Crime Stories (EN)
50,Skincare and Blackhead Extraction Videos (EN)
51,Skincare Extraction Videos (EN)
52,Skincare and Blackhead Extraction Videos (EN)
53,Skincare and Acne Treatment Content (EN)
54,Skincare and Acne Treatment Videos (EN)
55,Scary Historical Facts and Stories (EN)
56,True Crime and Historical Events (EN)
57,Viral Video Promotion Requests (EN)
58,Appeal Against Video Review (EN)
59,Baseball Trade News Updates (EN)
60,Basketball Tributes and Trivia (EN)
