component,label
1,Casual Conversations and Humor (EN)
2,Local News Updates (ID)
3,Local News and Family Advice (ID)
4,Local News and Sound Challenges (ID)
5,Diverse Storytelling and News Updates (EN)
6,Humorous Storytelling and Pranks (EN)
7,Relationship Drama and Pranks (EN)
8,Relationship Drama and Pranks (EN)
9,Relationship Drama and Pranks (EN)
10,Relationship Drama and Pranks (EN)
11,Relationship Drama and Pranks (EN)
12,Relationship Drama and Pranks (EN)
13,Relationship Drama and Pranks (EN)
14,Humorous Storytelling and Pranks (EN)
15,La Liga Season Coverage (EN)
16,La Liga Season Broadcast Promotion (EN)
17,La Liga Season Broadcast Promotion (EN)
18,Fictional Storytelling and Concert Content (EN)
19,Movie Scene Analysis and Storytelling (EN)
20,Mosque Collapse News Updates (ID)
21,Concert and Community Commentary (EN)
22,Dramatic Storytelling and Concert Content (EN)
23,Fictional Storytelling and Concert Content (EN)
24,Super Bowl News and Fictional Stories (EN)
25,Bad Bunny Super Bowl News (EN)
26,Dramatic Storytelling and News Updates (EN)
27,Dramatic Storytelling and News Updates (EN)
28,Bad Bunny Super Bowl News (EN)
