component,label
1,"""Street interviews promoting language learning and fast food opinions."""
2,"""Christmas-themed content: gifts, family moments, and unboxing discussions"""
3,"""Personal Storytime Skits with Humor and Relatable High School Themes"""
4,Fan Edits and Viral Trends Focused on Influencers and Relatable Content
5,"""Relatable trends and viral challenges with humor and reactions"""
6,"""Humorous commentary on trends, miniatures, and influencer culture"""
7,"""Self-promotion and viral content featuring Camilla Araujo branding"""
8,Luxury private jet travel stories and client anecdotes.
9,Luxury private jet travel anecdotes and client stories.
10,Luxury private jet travel and influencer lifestyle content
11,"""Trending humor and personal updates with viral hashtags"""
12,Drama-focused updates on Ash Trevino and Santos controversy.
13,"""Papa Smurf-themed Latino TikTok humor and public reactions"""
14,"""Podcast Clips: Personal Stories, Gambling, Gender, and Lifestyle Discussions"""
15,"""Rap Album Trivia and Critic Ratings Discussions"""
