component,label
1,Prank Calls and Storytime Content (EN)
2,Viral Video Appeal for Review (EN)
3,Appeal for Video Review Removal (EN)
4,Dark Humor and Storytelling (RU)
5,Emergency Call Storytelling (EN)
6,Emergency Call Transcripts (EN)
7,Viral Video Promotion Requests (EN)
8,Luxury Portable Fan Promotion (EN)
9,Sports and Historical Anecdotes (EN)
10,Sports and Personal Stories (EN)
11,Sports Highlights and Weather Updates (EN)
12,Sports and Lifestyle Commentary (EN)
13,Sports and Humorous Commentary (EN)
14,Football and Police Interaction Content (EN)
15,Police Encounters and Legal Rights (EN)
16,Sports and Viral Stories (EN)
17,Football Match Highlights (EN)
18,Humorous Anecdotes and Sports Updates (EN)
19,Sports and NFL Commentary (EN)
20,Military Humor and Commentary (EN)
21,Relatable Storytelling and Memes (EN)
22,Humorous Storytelling and Relatable Anecdotes (EN)
23,Basketball Commentary and Stories (EN)
24,Basketball Stories and Analysis (EN)
25,Sports and Social Commentary (EN)
26,Football Highlights and Comedy Commentary (EN)
27,Sports and Gaming Highlights (EN)
28,Sports and Relationship Stories (EN)
29,Call Center Employee Experiences (EN)
30,Relationship Drama and Personal Conflicts (EN)
31,Appeal Against TikTok Video Review (EN)
32,Viral Video Promotion Requests (EN)
33,Appeal Against Video Review (EN)
34,Conspiracy Theories and Rumors (EN)
35,Sports and Political News Updates (EN)
36,Appeal Against TikTok Video Review (EN)
37,Appeal Against Video Review (EN)
38,Skincare and Pedicure Content (VI)
39,Skincare and Pedicure Content (EN)
40,Skincare and Pedicure Content (EN)
41,Skincare and Pedicure Content (VI)
42,Skincare and Pedicure Content (EN)
43,Skincare and Pedicure Content (EN)
44,Skincare and Pedicure Content (EN)
45,Skincare and Pedicure Content (EN)
46,Conspiracy Theories and Crime Stories (EN)
47,Local News and Rumors (EN)
48,Crime and Mystery Stories (EN)
49,Crime and Mystery Stories (EN)
50,Crime and Mystery Narratives (EN)
51,Skincare and Blackhead Extraction Videos (EN)
52,Skincare and Blackhead Extraction Videos (EN)
53,Skincare and Blackhead Extraction Videos (EN)
54,Skincare and Blackhead Extraction Videos (EN)
55,Skincare and Blackhead Extraction Videos (EN)
56,Skincare and Acne Treatment Content (EN)
57,Skincare and Acne Treatment Content (EN)
58,Skincare and Acne Treatment Content (EN)
59,Scary Stories and Historical Events (EN)
60,Historical Event Animations (EN)
61,Appeal Against Video Review (EN)
