component,label
1,Islamic-themed Duet Videos
2,Islamic-themed video duets with religious symbols.
3,Islamic Educational Content in Bengali
4,Islamic-themed video duets with religious symbols.
5,Islamic-themed video duets with religious symbols.
6,Islamic-themed video duets with religious symbols.
7,Islamic Inspirational Videos and Duets
8,Islamic-themed video duets with religious influencers.
9,Islamic-themed video duets with religious symbols.
10,Islamic-themed Duet Videos
11,Islamic-themed Duet Videos
12,Pro-Jamaat-e-Islami Bangladesh Islamic Content
