component,label
1,Crime News and Dramatic Narratives (EN)
2,Local News and Humor Content (ID)
3,Fictional Storytelling and Narratives (ID)
4,Local News on Mosque Collapse (ID)
5,Local News on Mosque Collapse (ID)
6,Storytime and Prank Content (EN)
7,Local News and Events Coverage (ID)
8,Local News on Mosque Collapse (ID)
9,Fictional Storytelling Narratives (EN)
10,Fictional Horror and Thriller Narratives (ID)
11,Local News on Mosque Collapse (ID)
12,Local News and Personal Stories (ID)
13,Dramatic Storytelling and Pranks (EN)
14,Crime News and Fictional Narratives (EN)
15,Louvre Jewelry Heist News Coverage (EN)
16,News and Personal Reflections (EN)
17,Jewelry Heist News Coverage (EN)
18,Crime and Emergency Scenarios (EN)
19,Radio Show Drama Narratives (EN)
20,La Liga Season Broadcasts and Dramas (EN)
21,La Liga Season Broadcast Promotion (EN)
22,Storytelling and Concert Promotion (EN)
23,Fictional Narratives and Concert Content (EN)
24,Classic Movie Scenes Analysis (EN)
25,Classic Movie Scenes and Analysis (EN)
26,Classic Movie Scenes and Analysis (EN)
27,Classic Movie Scenes and Analysis (EN)
28,Classic Movie Scenes and Analysis (EN)
29,Classic Movie Scenes Analysis (EN)
30,Classic Movie Scenes and Details (EN)
31,Classic Movie Analysis Content (EN)
32,Classic Movie Scenes and Analysis (EN)
33,Classic Movie Scenes and Analysis (EN)
34,Classic Movie Scenes and Analysis (EN)
35,Classic Movie Analysis Content (EN)
36,Classic Movie Scenes Analysis (EN)
37,Baseball Trade News and Discussions (EN)
38,Baseball News and Dramatic Narratives (ES)
