component,label
1,Bad Bunny Super Bowl News (ES)
2,Bad Bunny Super Bowl News (EN)
3,Local News Update on Mosque Collapse (ID)
4,Local News on Mosque Collapse (ID)
5,Local News on Mosque Collapse (ID)
6,Local News on Mosque Collapse (ID)
7,Horror and Thriller Narratives (ID)
8,Local News and Updates (ID)
9,Radio Show Drama Stories (EN)
10,Radio Show Storytelling and Drama (EN)
11,Storytelling and Personal Narratives (EN)
12,Mosque Collapse News and Fictional Dialogues (ID)
13,Dramatic Storytelling and Mosque News (RU)
14,Dramatic Storytelling and Pranks (EN)
15,Radio Show Prank Calls and Storytime (EN)
16,Humorous Storytelling and Prank Calls (EN)
17,Baseball Trade News Updates (EN)
18,Sports News and Fantasy Stories (EN)
19,Sports News and Commentary (EN)
20,Baseball Trade News Updates (EN)
21,Sports News and Drama Narratives (EN)
22,Baseball News and Diverse Skits (EN)
23,Baseball Trade News Updates (EN)
24,Baseball Trade News Updates (EN)
25,Dramatic Audio Clips and Local News (ID)
26,Louvre Jewelry Heist News Coverage (EN)
27,Crime News and Fictional Stories (EN)
28,Crime and Tragedy Narratives (EN)
29,News and Rodeo Content (EN)
30,Louvre Jewelry Heist News Coverage (EN)
31,Dramatic Storytelling and Fictional Narratives (EN)
32,Dramatic Storytelling and Mosque Collapse News (EN)
