component,label
1,"""Requesting Support in Bengali Language"""
2,Wedding mishaps and etiquette conflicts stories
3,Wedding Planning Disputes and Miscommunications
4,Wedding mishaps and humorous guest interactions
5,Wedding Storytime and Humor Narratives
6,Prank Calls and Relationship Drama Stories
7,Radio-style prank calls and second date updates.
8,Prank Calls and Relationship Drama Storytime
9,Prank Calls and Storytime Skits
10,Prank Calls and Storytime with Brooke and Jubal
11,Radio Show Prank Calls and Second Date Updates
12,Prank Calls and Comedy Storytelling
13,Prank Calls and Relationship Drama Stories
14,Radio Show Prank Calls and Awkward Date Stories
15,Prank Calls and Relationship Drama Radio Show Content
