component,label
1,Crime News and Dramatic Narratives (EN)
2,News and Casual Conversations (EN)
3,Sports and Local News Updates (EN)
4,Local News and Sports Updates (ID)
5,Local News and Events (ID)
6,Local News on Mosque Collapse (ID)
7,Local News on Mosque Collapse (ID)
8,Prank Calls and Storytime Content (EN)
9,Casual Conversations and Trivia (EN)
10,Local News and Humor Content (ID)
11,Comedy and Personal Stories (EN)
12,Local News and Comedy Clips (ID)
13,Bad Bunny Super Bowl News (EN)
14,Entertainment and Dramatic Skits (EN)
15,Bad Bunny Super Bowl News (EN)
16,Louvre Jewelry Heist News Coverage (EN)
17,News and Sitcom Clips (EN)
18,Louvre Jewelry Heist News Coverage (EN)
19,Jewelry Heist News Coverage (EN)
20,Jewelry Heist News Coverage (EN)
21,News on Louvre Jewelry Heist (EN)
22,Jewelry Heist News Coverage (EN)
23,La Liga Season Updates and TV Show Clips (EN)
24,Classic Movie Scenes and Analysis (EN)
25,Classic Movie Scenes and Analysis (EN)
26,Classic Movie Scenes and Details (EN)
27,Classic Movie Scenes and Details (EN)
28,Classic Movie Scenes and Analysis (EN)
29,Sports and Fictional Storytelling (EN)
30,Horror and Fantasy Narratives (EN)
31,MLB Trade News and Updates (EN)
32,Baseball Trade News Updates (EN)
33,Baseball Trade News Updates (EN)
34,Baseball News and Storytelling (ES)
35,Sports News and Fictional Narratives (EN)
36,Baseball News and Dramatic Narratives (ES)
37,Fantasy Narratives and La Liga Updates (EN)
38,Disaster Narratives and Mosque Collapse Updates (EN)
39,Dramatic Storytelling and Mosque News (ID)
40,Dramatic Storytelling and Mosque Collapse News (ID)
41,Hurricane Melissa Updates and Discussions (EN)
