component,label
1,Bad Bunny Super Bowl News (EN)
2,Relationship Humor and Pranks (EN)
3,Relationship Humor and Pranks (EN)
4,Relationship Humor and Pranks (EN)
5,Relationship Humor and Pranks (EN)
6,Relationship Humor and Pranks (EN)
7,Relationship Humor and Social Commentary (EN)
8,Relationship Humor and Pranks (EN)
9,Radio Show Prank Stories (EN)
10,Blackpink Concert Fan Content (EN)
11,La Liga Season Updates and Dramatized Narratives (EN)
12,Classic Movie Scenes and Analysis (EN)
13,Classic Movie Analysis (EN)
14,Bizarre Fictional Stories and Sports Updates (EN)
15,Mosque Collapse News Coverage (ID)
16,Mosque Collapse News Coverage (ID)
17,Mosque Collapse News Coverage (ID)
18,Mosque Collapse News Coverage (ID)
19,Hurricane Updates and Fictional Stories (EN)
