component,label
1,"""Bodycam Footage Highlighting Police Interactions and Narcotics Investigations"""
2,"""Humorous Relationship Commentary and Relatable Trends"""
3,"""Camilla Araujo-Centric Humor and Drama Content"""
4,"""Luxury Travel Influencers Promoting Private Jet Experiences"""
5,"""Luxury Travel Influencers Promoting Private Jet Experiences"""
6,"""Paranormal and Horror Storytelling with Supernatural Themes"""
7,"""Drama Predictions and Commentary on TikTok Personalities"""
8,"""Mock Bop Houses and Personal Drama Commentary"""
9,"""Latino Nostalgia Humor: Papa Pitufo and Public Reactions"""
10,"""Service Industry Stories and Bartender Customer Interactions"""
