component,label
1,Viral Video Appeal for Review (EN)
2,Viral Video Appeal for Review (EN)
3,Humorous Prank Videos (EN)
4,Viral Video Promotion Requests (EN)
5,Sports News and Highlights (EN)
6,Sports and Lifestyle Discussions (EN)
7,Sports Commentary and Analysis (EN)
8,Sports Highlights and Trivia (EN)
9,Sports and Social Commentary (EN)
10,Sports News and Highlights (EN)
11,Sports Highlights and Personal Stories (EN)
12,Storytelling and Pranks (EN)
13,Call Center Humor and Sarcasm (EN)
14,Viral Video Promotion Requests (EN)
15,Viral Video Promotion Requests (EN)
16,Prank Stories and Personal Anecdotes (EN)
17,Skincare and Pedicure Content (EN)
18,Skincare and Pedicure Content (EN)
19,Skincare and Pedicure Content (EN)
20,Skincare and Pedicure Content (EN)
21,Relationship Drama Narratives (EN)
22,Product Promotion: MGALL S5 Diamond Fan (EN)
23,Product Promotion: MGALL S5 Diamond Fan (EN)
24,Skincare and Blackhead Extraction Videos (EN)
25,Skincare and Acne Treatment Videos (EN)
26,Skincare and Acne Treatment Videos (EN)
27,Skincare and Acne Treatment Videos (EN)
28,Health and Lifestyle Advice (RU)
29,Celebrity Child Fashion Critique (EN)
30,La Liga Season Updates (EN)
31,La Liga Season Updates and Humor (EN)
