component,label
1,"""Bangla Support Request Hashtag Campaign"""
2,Wedding Planning Mishaps and Humor Stories
3,Wedding Planning Mishaps and Miscommunications
4,Wedding Planning Miscommunications and Humor
5,Wedding Drama and Humor Storytime
6,Prank Calls and Relationship Drama
7,Radio show prank calls and second date updates.
8,Prank Calls and Relationship Drama Storytelling
9,Prank Calls and Storytime Skits
10,Prank Calls and Storytime with Brooke and Jubal
11,Radio Show Prank Calls and Second Date Updates
12,Prank Calls and Comedy Storytelling
13,Prank Calls and Relationship Drama Content
14,Prank Calls and Awkward Relationship Confrontations
15,Radio Prank Calls and Relationship Drama
