component,label
1,Local News and Events Coverage (ID)
2,Bad Bunny Super Bowl News and Drama (EN)
3,Bad Bunny News and Medical Drama Clips (EN)
4,Bad Bunny Super Bowl News (EN)
5,Bad Bunny Super Bowl News (EN)
6,Bad Bunny Super Bowl News (EN)
7,Bad Bunny Super Bowl News (EN)
8,Relationship Stories and Pranks (EN)
9,Radio Show Pranks and Stories (EN)
10,Dramatic Storytelling and Radio Pranks (EN)
11,Bad Bunny Super Bowl News and Stories (EN)
12,Radio Show Pranks and Humor (EN)
13,La Liga Season Broadcast Promotion (ES)
14,Fictional Crime and Drama Narratives (EN)
15,Classic Movie Scenes and Analysis (EN)
16,Classic Movie Scenes and Analysis (EN)
17,Classic Movie Scenes and Analysis (EN)
18,Bizarre Horror Stories and Sports News (EN)
19,Horror Fiction and La Liga Updates (EN)
20,Dramatic Storytelling and Fictional Narratives (EN)
21,Mosque Collapse News Coverage (ID)
22,Dramatic Storytelling and Transformations (EN)
23,Blackpink Concert Fan Content (EN)
