component,label
1,Islamic Inspirational Videos and Prayers
2,Islamic-themed videos with religious hashtags and symbols.
3,Islamic-themed videos with CapCut editing tools.
4,Islamic-themed video duets with religious hashtags.
5,Islamic-themed video duets with religious symbols.
6,Islamic-themed video duets with religious symbols.
7,Islamic-themed video duets with religious hashtags.
8,Islamic Inspirational Videos and Ramadan Reflections
9,Islamic-themed video duets with religious symbols.
10,Islamic-themed video duets with religious symbols.
11,Pro-Jamaat-e-Islami Bangladesh Islamic Content
