component,label
1,Bad Bunny Super Bowl News (EN)
2,Bad Bunny Super Bowl News (EN)
3,Bad Bunny Super Bowl News (ES)
4,Bad Bunny Super Bowl News (EN)
5,Local News on Mosque Collapse (ID)
6,Local News on Mosque Collapse (ID)
7,Local News on Mosque Collapse (ID)
8,Local News on Mosque Collapse (ID)
9,Local News on Mosque Collapse (ID)
10,Local News on Mosque Collapse (ID)
11,Local News on Mosque Collapse (ID)
12,Local News on Mosque Collapse (ID)
13,Local News on Mosque Collapse (ID)
14,Local News on Mosque Collapse (ID)
15,Local News on Mosque Collapse (ID)
16,Local News on Mosque Collapse (ID)
17,Local News on Mosque Collapse (ID)
