component,label
1,Prank Stories and Personal Anecdotes (EN)
2,Dramatic Personal Stories (EN)
3,Personal Stories and Experiences (EN)
4,Humorous Parenting and Prank Content (EN)
5,Sports News and Medical Drama Clips (EN)
6,Medical Drama and Sports News (EN)
7,Viral NFL Fan Controversy (EN)
8,NFL Fan Drama and Commentary (EN)
9,Life Hacks and Tips (EN)
10,Life Hacks and Tips (EN)
11,Life Hacks and Tips (EN)
12,Life Hacks and Tips (EN)
13,Life Hacks and Tips (EN)
14,Sensational Crime and Unusual News Stories (EN)
15,Car Enthusiast Skits and Education (EN)
16,Prank and Trickshot Videos (EN)
17,Humorous Pranks and Tricks (ZH)
