component,label
1,"""Street interviews promoting language learning and fast food opinions."""
2,"""Bodycam Footage Highlighting Police Interactions and Narcotics Investigations"""
3,"""Trendy humor, fan edits, and viral relationship commentary"""
4,"""Personal Drama and Humor-Focused Commentary"""
5,"""Commentary on influencer drama and authenticity controversies"""
6,"""Luxury travel promotion with private jet focus"""
7,"""Luxury travel promotion with private jet focus"""
8,"""Luxury travel with hunting-themed private jet content"""
9,"""Luxury Private Jet Customization and Non-Flight Bookings"""
10,"""Personal drama commentary with predictions and reenactments"""
11,"""Paranormal and horror-themed storytelling with recurring supernatural motifs"""
