component,label
1,Islamic-themed video duets and religious content sharing
2,Islamic-themed video duets with religious symbols.
3,Islamic-themed video duets with religious symbols.
4,Islamic-themed video duets with religious symbols.
5,Islamic Religious Content and Duets
6,Islamic-themed videos with religious hashtags
7,Islamic-themed content with religious symbols.
8,Islamic-themed video content sharing.
9,Islamic Devotional Content in Bengali and Arabic
10,Islamic-themed videos with religious duets and hashtags.
11,Pro-Jamaat-e-Islami Bangladesh Islamic Content
