component,label
1,Bad Bunny Super Bowl News (EN)
2,Local News: Mosque Collapse in Sidoarjo (ID)
3,Local News and Events (ID)
4,Local News and Updates (ID)
5,Local News on Mosque Collapse (ID)
6,Radio Show Storytelling and Anecdotes (EN)
7,Mosque Collapse News Coverage (ID)
8,Emotional Storytelling and Prank Calls (EN)
9,Humorous Storytelling and Prank Calls (EN)
10,Horror and Fantasy Narratives (EN)
11,Sports and Fantasy Narratives (EN)
12,Baseball Updates and Fictional Narratives (EN)
13,Baseball and Fictional Narratives (EN)
