component,label
1,"""Below Deck Drama: Yacht Life and Crew Challenges"""
2,"""Below Deck Yacht Drama and Crisis Management"""
3,Russian Courtroom Dramas and Family Disputes
4,Court Dramas: Schoolgirl Fights Behind Garages
5,Russian Humor and Pranks Featuring Vika and Varya
6,Child Custody Court Dramas and Horror Storytelling
7,Fake Courtroom Drama Series
8,Russian Family Court Drama Narratives
9,"""Shawnaverse Drama: Emotional Birthday Party Theories"""
10,Russian Comedy Skits Featuring TNT Stars
11,Russian Comedy Skits Featuring Artur Pirozhkov and Galustyan
12,Russian Stand-up Comedy and Improvisation
13,"""Mom Skits: Relatable Parenting Challenges"""
14,Luxury Private Jet Travel to Super Bowl
15,Dramatic Personal Conflicts and Wealth Display on TikTok
16,Family Drama and Money Discussions Podcast
17,Humorous Skits and Podcast Drama with Camilla Araujo
18,Dramatic personal conflicts and luxury lifestyle discussions.
19,Courtroom Drama and Child Support Issues
20,Family Drama and Workplace Conflict Roleplay
21,Service Industry Humor and Customer Interactions
22,Family Drama Skits with Relatable Humor
23,Humorous Salon and Family Skits with Relatable Themes
24,Dramatic Hair Salon Roleplay Skits
25,Humorous Skits on Social Scenarios and Legal Questions
26,Super Bowl Roller Skating Mishap and Celebrity Encounters
27,Russian Horror and Mystery Storytelling
28,Fake Courtroom Drama Shows with Actors
