component,label
1,"""Bodycam Footage Highlighting Police Interactions and Narcotics Investigations"""
2,"""Trendy challenges, fan edits, and relatable viral content"""
3,"""Celebrity drama and brand involvement commentary content cluster"""
4,"""Luxury travel promotion with private jet focus"""
5,"""Luxury travel promotion with private jet focus"""
6,"""Luxury travel with hunting-themed private jet content"""
7,"""Drama-focused commentary with predictions and personal callouts"""
8,"""Paranormal and horror-themed storytelling with recurring supernatural motifs"""
9,"""Humorous commentary and personal drama-focused TikTok content cluster"""
10,"""Humorous drama and mini-themed TikTok house discussions"""
