component,label
1,Mixed Content with News and Humor (EN)
2,Crime News and Dramatic Skits (EN)
3,News and Fictional Dialogue Mix (EN)
4,Heist Roleplay and News Commentary (EN)
5,Local News and Events (ID)
6,Local News and Commentary (ID)
7,Local News Update on Mosque Collapse (ID)
8,Bad Bunny Super Bowl News (ES)
9,Crime News and Drama Dialogue (EN)
10,Jewelry Heist News Coverage (EN)
11,Mosque Collapse News Updates (ID)
12,Mosque Collapse News and Comedy Skits (EN)
13,Mosque Collapse News and Comedy Skits (EN)
