component,label
1,"""Bodycam Footage Highlighting Police Interactions and Narcotics Investigations"""
2,"""Relatable humor and trending challenges with viral hashtags"""
3,"""Camilla Araujo-focused content with humor, drama, and viral trends"""
4,"""Luxury travel promotion with private jet focus"""
5,"""Luxury travel promotion with private jet focus"""
6,"""Paranormal and supernatural horror storytelling with eerie visual themes"""
7,"""Drama-focused content with predictions, rumors, and interpersonal conflicts."""
8,"""Humorous drama and mini-themed content around 'Bop House' trend"""
9,"""Gaming and Animation Content Featuring Black Myth: Wukong Themes"""
10,"""Latino nostalgia, humor, and public reaction content"""
11,"""Service Industry Skits and Bartender Scenarios"""
