component,label
1,Local News and Dramatic Audio Clips (ID)
2,Dramatic Storytelling and News Updates (EN)
3,Bad Bunny Super Bowl News (EN)
4,Bad Bunny Super Bowl News (EN)
5,Bad Bunny Super Bowl News (EN)
6,Super Bowl News and Fictional Narratives (ES)
7,Bad Bunny Super Bowl News (EN)
8,Dramatic Skits and News Updates (EN)
9,Animated Storytelling and Bad Bunny News (EN)
10,Dramatic Storytelling and Pranks (EN)
11,Relationship and Family Drama Stories (EN)
12,Family Drama Narratives (EN)
13,Prank Stories and Social Commentary (EN)
14,La Liga Season Kickoff Updates (EN)
15,Classic Movie Scenes and Analysis (EN)
16,Bizarre Horror Stories (EN)
17,Dramatic Fictional Narratives (EN)
18,La Liga Season Updates and Fictional Stories (EN)
19,Football and Drama Content (EN)
20,La Liga Football Season Updates (EN)
21,La Liga Season Updates and Fictional Stories (EN)
22,Dramatic Storytelling and Fictional Narratives (EN)
