component,label
1,Humorous ASMR and Comedy Skits Cluster
2,Humorous storytelling and personal anecdotes cluster.
3,German Comedy Skits and ASMR Content
4,"Humorous ASMR and ""Am I the Asshole?"" storytelling."
5,Dating Stories and Relationship Humor
6,Relationship Drama and Prank Call Storytelling
7,Appeals for TikTok video review and visibility.
8,Radio Show Prank Calls and Relationship Drama
9,Prank Calls and Relationship Drama Radio Show
10,Radio Show Prank Calls and Relationship Drama
11,Prank Calls and Storytime Narratives
12,Radio Show Prank Calls and Relationship Drama
13,Radio Prank Calls and Relationship Drama
14,Brooke and Jubal Radio Show Storytime Skits
15,Radio Show Storytime and Second Date Updates
16,Brooke and Jubal Storytime: Humorous and Dramatic Narratives
17,Prank calls and relationship drama stories.
18,Radio Show Prank Calls and Relationship Drama
19,Brooke and Jubal Radio Show Storytime Narratives
20,Radio Show Storytime Dramatizations
21,Dramatic 911 call reenactments and emergency scenarios.
22,Radio Show Storytime and Relationship Drama
23,Radio Prank Calls and Relationship Drama
24,Radio show prank calls and awkward relationship confrontations.
25,Stories of relationship conflicts and unconventional resolutions
26,Personal Stories of Divorce and Relationship Challenges
27,Prank 911 Calls and Storytime Narratives
28,Dramatic relationship and prank call storytelling content.
29,Brooke and Jubal Radio Show Storytime Skits
30,Repeated requests to avoid video review on TikTok.
31,Childhood Trauma and Dysfunctional Family Stories
