component,label
1,News and Entertainment Clips (EN)
2,Louvre Jewelry Heist News Coverage (EN)
3,News and Entertainment Mix (EN)
4,Local News and Celebrity Stories (ID)
5,Local News and Events (ID)
6,Comedic Commentary and Observations (EN)
7,Local News on Mosque Collapse (ID)
8,Fictional Survival Stories (ID)
9,Dramatic Storytelling and News Updates (ES)
10,Bad Bunny Super Bowl News (EN)
11,Dramatic Fictional Narratives (ES)
12,Radio Show Pranks and Stories (EN)
13,Emotional Storytelling and Personal Narratives (EN)
14,Family Drama and Wedding Conflicts (EN)
15,Louvre Jewelry Heist News Coverage (EN)
16,Pop Culture and News Clips (EN)
17,Crime and Drama Narratives (EN)
18,News and Satirical Commentary (EN)
19,Louvre Jewelry Heist News Coverage (EN)
20,News and Fictional Drama Clips (EN)
21,Louvre Jewelry Heist News Coverage (EN)
22,News on Louvre Jewelry Heist (EN)
23,Dramatic Relationship Stories (EN)
24,La Liga Season Updates and Comedy Clips (EN)
25,Sports News and Fictional Stories (EN)
26,Baseball News and Humorous Stories (EN)
27,Baseball Trade News Updates (EN)
28,Baseball News and Fictional Stories (ES)
29,Fictional Narratives and Sports Updates (EN)
30,Fictional Narratives and Sports Updates (EN)
31,Dramatic Storytelling and Sports Updates (EN)
32,Sports and Fictional Narratives (EN)
33,Sports and Fictional Narratives (EN)
34,Mosque Collapse News Updates (ID)
35,Disaster and Drama Narratives (EN)
36,Hurricane Melissa Updates and Fictional Stories (EN)
