component,label
1,Viral Video Appeal for Review (EN)
2,Viral Video Appeal to TikTok Team (EN)
3,Viral Video Promotion Requests (EN)
4,Sports News and Highlights (EN)
5,Sports and Relationship Discussions (EN)
6,Sports Highlights and Trivia (EN)
7,Sports Highlights and Trivia (EN)
8,Sports Highlights and NFL Content (EN)
9,Sports and Lifestyle Commentary (EN)
10,Sports and Humorous Commentary (EN)
11,Sports Highlights and NFL Content (EN)
12,Live Messi Soccer Highlights (EN)
13,Viral Video Promotion Requests (EN)
14,Viral Video Promotion Requests (EN)
15,Sports News and Personal Stories (EN)
16,Humorous Storytelling and Pranks (EN)
17,Skincare and Pedicure Content (PT)
18,Skincare and Pedicure Content (EN)
19,Skincare and Pedicure Content (EN)
20,Skincare and Pedicure Content (EN)
21,Skincare and Pedicure Content (EN)
22,Relationship Drama Narratives (EN)
23,Luxury Fan Product Promotion (EN)
24,Product Promotion: MGALL S5 Diamond Fan (EN)
25,Skincare and Blackhead Extraction Videos (EN)
26,Skincare and Blackhead Extraction Videos (EN)
27,Skincare and Blackhead Extraction Videos (EN)
28,Skincare and Acne Treatment Content (EN)
29,Messi Cam Live Streams and Discussions (EN)
30,Courtroom Drama and MLB Updates (EN)
31,Motivational and Cautionary Stories (RU)
