component,label
1,Sports News and Highlights (EN)
2,Sports and Entertainment Commentary (EN)
3,Sports and Unconventional Advice Content (EN)
4,Sports and Weather Updates (EN)
5,Football Match Highlights (EN)
6,Sports and Personal Stories (EN)
7,Basketball Stories and Commentary (EN)
8,Sports and Pop Culture Discussions (EN)
9,Sports and Personal Stories (EN)
10,Sports and Weather Updates (EN)
11,Appeal Against Video Review (EN)
12,Courtroom Drama and Legal Cases (EN)
13,Baseball Updates and Personal Drama (EN)
14,Live Sports Coverage: Messi Cam (EN)
15,Appeal Against TikTok Video Review (EN)
16,Appeal Against Video Review (EN)
17,Skincare and Pedicure Content (EN)
18,Skincare and Pedicure Content (EN)
19,Skincare and Pedicure Content (EN)
20,Skincare and Pedicure Content (EN)
21,Conspiracy Theories and Urban Legends (EN)
22,Relationship Drama and Personal Stories (EN)
23,Luxury Portable Fan Promotion (EN)
24,Skincare and Blackhead Extraction Videos (EN)
25,Skincare and Blackhead Extraction Content (EN)
26,Skincare and Blackhead Extraction Videos (EN)
27,Skincare and Blackhead Extraction Videos (EN)
28,Skincare and Blackhead Extraction Videos (PT)
29,Viral Video Promotion Requests (EN)
30,Sports News and German Conversations (DE)
31,Social Commentary on Alcohol and Behavior (RU)
