video_id,author_name,view_count,comment_count,share_count,like_count,region_code,create_time,effect_ids,music_id,video_description,hashtag_names,voice_to_text,video_url,fetch_timestamp,fetch_date,data_source
7578666754990279958,vpa9opbxzff,938,0,1,9,GB,2025-11-30 23:37:49,NA,7578666783964449558,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar#jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,https://www.tiktok.com/@vpa9opbxzff/video/7578666754990279958,2025-12-04 05:48:00.476333,2025-12-04,reused_from_yesterday
7578666591324212502,vpa9opbxzff,327,0,0,2,GB,2025-11-30 23:37:09,NA,7578666610005789462,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar#jtvjember #evakuasi#sidoarjo #fyp,"fyp,sidoarjo,jtvjember",NA,https://www.tiktok.com/@vpa9opbxzff/video/7578666591324212502,2025-12-04 05:48:00.476333,2025-12-04,reused_from_yesterday
7578613981569486110,starniuniu,1921,0,0,70,US,2025-11-30 20:13:13,NA,7578614446495501087,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember","A transport plane carrying inmate shakes through the sky. A man marked as extremely dangerous gets brought on board. His face stays covered by a dark cloth. Chains wrap around him, layer after layer. He gets placed alone in the last row. No one dares to move close to him. A tooth with a wire attached slips from his mouth. His fingers find it. He starts working on the lock. His movements stay steady like he knows what comes next, like he waits for an impact. Already set in motion, the engine catches fire. In the next moment, the pilot looks for the nearest place to bring the plane down. They land in a valley in Alaska. I take my team and fly a helicopter toward the rising smoke. That place becomes the landing site. I find the only surviving Marshall. His eyes lose all vision. I ask him what happened. He says an inmate broke free. He tampered with the plane. The marshal has no idea who that man was. He only remembers the plane changing course to an air base, then taking on that mysterious inmate. Agent Sid arrives with two investigators. I try to get a clear explanation from her. She calls it a classified operation and keeps everything sealed. I say the name havlock. She finally speaks. She says havlock is a planted defector trained by the agency. I head to the hospital. My wife is there taking care of the blind marshal. Back at the Command post staff bring a file. Sid studies the photos. Inside, she notices a body in a prison jumpsuit. That is not an inmate. The truth hits me in that moment. Havelock stays right in front of us. He is the Marshall pretending to be injured. I call my wife immediately. Not a guard. He's a prisoner. Get out of the building. I'm on my way, sir.
",https://www.tiktok.com/@starniuniu/video/7578613981569486110,2025-12-04 05:48:00.476333,2025-12-04,reused_from_yesterday
7578602577693084959,user3980650207275,59,0,0,1,US,2025-11-30 19:28:57,NA,7578602603257350943,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,https://www.tiktok.com/@user3980650207275/video/7578602577693084959,2025-12-04 05:48:00.476333,2025-12-04,reused_from_yesterday
7578601626529697054,user7017831433061,770,0,0,33,US,2025-11-30 19:25:08,NA,7578601597014493982,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember","Hey, with dispatchers. What do you think, guys? Should I add a million subs? Not kidding, guys. I will spend the day with 9 1 1 dispatchers. I will spend the day with SWAT team. Add a million subscribers. I admire the 9 1 1 dispatchers. I think what they do is the backbone of the law enforcement, of the first responders. Subscribe, please. I am trying to get to a million. So, you know, we left my partners there. Yeah, yeah, yeah. They end up during their investigation and found out that she DUI. Don't drink and drive. Yeah, don't. Don't drink and drive, guys. I spent $30 on the lift just to drop off my car for service. So. Yeah, don't get a DUI. Yeah, listen to the. Please listen to the officer, guys. Come on. And that's crazy, because she. She seemed pretty normal. Yeah, put it this way. I had a guy who point a. Higher your speed. I stopped him. He was under the influence. He was like, triple time, the legal limit. And he admitted that he was a functioning alcoholic. And if I didn't stop him, he was probably going to drink himself into the hospital. And unfortunately, we're gonna see more DUI calls. Hold on to your registration and insurance. Give me one second. Slow down, dude. Okay. How do you drive?
",https://www.tiktok.com/@user7017831433061/video/7578601626529697054,2025-12-04 05:48:00.476333,2025-12-04,reused_from_yesterday
7578592350511910174,pvmpqogtt1,162,0,0,4,US,2025-11-30 18:49:16,NA,7578592502102395679,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,https://www.tiktok.com/@pvmpqogtt1/video/7578592350511910174,2025-12-04 05:48:00.476333,2025-12-04,reused_from_yesterday
7578590752175852813,lz5yp3fsa8,138,0,0,4,US,2025-11-30 18:43:07,NA,7578590822539610893,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,https://www.tiktok.com/@lz5yp3fsa8/video/7578590752175852813,2025-12-04 05:48:00.476333,2025-12-04,reused_from_yesterday
7578590443752000781,lz5yp3fsa8,813,1,0,53,US,2025-11-30 18:42:08,NA,7578590578998561591,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember","Shoulders. Thank you baby. What? Hahaha, you just found this? It's right here. Hahaha. So we're gonna do um head shave and shave everything. Uh huh, leave the goat. Okay, so we're shaving every, this is a little what the heck ㅎㅎ ㅎㅎ
",https://www.tiktok.com/@lz5yp3fsa8/video/7578590443752000781,2025-12-04 05:48:00.476333,2025-12-04,reused_from_yesterday
7578578943423335710,pfcccexaemz92,639,0,0,22,US,2025-11-30 17:57:19,NA,7578579395745614622,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,https://www.tiktok.com/@pfcccexaemz92/video/7578578943423335710,2025-12-04 05:48:00.476333,2025-12-04,reused_from_yesterday
7578575712278351117,ppxcna,309,0,0,19,US,2025-11-30 17:44:54,NA,7578575809904954126,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,https://www.tiktok.com/@ppxcna/video/7578575712278351117,2025-12-04 05:48:00.476333,2025-12-04,reused_from_yesterday
