component,label
1,Pro-Jamaat-e-Islami Bangladesh Islamic Content
2,Islamic-themed video duets in Bengali language
3,Islamic-themed video duets with religious symbols.
4,Islamic-themed video duets with religious symbols.
5,Islamic-themed video duets with religious hashtags.
6,Islamic-themed video duets in Bengali language
7,Islamic-themed video duets with religious symbols.
8,Islamic-themed video duets with religious symbols.
9,Islamic-themed Duet Videos
10,Islamic-themed video duets with religious symbols.
11,Reality TV Family Drama Commentary
