component,label
1,Crime News and Dramatic Narratives (EN)
2,News and Dramatic Narratives (EN)
3,Louvre Jewelry Heist News Coverage (EN)
4,Local News Event Coverage (ID)
5,Local News: Mosque Collapse in Sidoarjo (ID)
6,Local News and Fiction Narratives (ID)
7,Bad Bunny News and Medical Drama Clips (EN)
8,Mosque Collapse News Updates (ID)
9,Mosque Collapse News Updates (ID)
10,Mosque Collapse News and Fictional Dramas (EN)
11,Mosque Collapse News and Comedy Skits (EN)
12,Mosque Collapse News and Comedy Skits (EN)
13,Louvre Jewelry Heist News Coverage (EN)
14,News and Entertainment Clips (EN)
15,Diverse Voiceovers and Skits (ID)
16,Dark Fictional Narratives (EN)
17,Baseball Trade News Updates (EN)
