component,label
1,Local News and Dark Humor (ID)
2,Local News Updates (ID)
3,Bad Bunny Super Bowl News (EN)
4,Bad Bunny Super Bowl News (EN)
5,Bad Bunny Super Bowl News (ES)
6,Emotional Storytelling and Pranks (EN)
7,Prank Stories and Radio Show Clips (EN)
8,Prank Stories and Drama Narratives (EN)
9,Jewelry Heist News Coverage (EN)
10,News and Family Drama Clips (EN)
11,Crime News and Dramatic Narratives (EN)
12,Jewelry Heist News Coverage (EN)
13,Dramatic Storytelling and Sports Updates (EN)
14,La Liga Season Updates and Dramas (EN)
15,Surreal Storytelling and Sports Updates (EN)
16,Horror Fiction and La Liga Updates (EN)
17,La Liga Football Season Updates (EN)
18,Mosque Collapse News Coverage (ID)
19,Hurricane Updates and Dramatic Stories (EN)
