component,label
1,"""Street interviews promoting language learning and fast food discussions"""
2,"""Podcast-themed viral content with influencer drama and fan edits."""
3,"""Humorous lifestyle content featuring influencers and viral trends"""
4,"""Luxury private jet travel and affluent client experiences"""
5,"""Queer hairstyling and body positivity content focus"""
6,"""Satirical commentary on family vloggers and influencer culture"""
7,"""Repetitive sensationalized content about Lily Philips' personal life"""
8,"""Queer-inclusive hairstyling and barbering content from urban professionals"""
9,"""Body image critique and parenting boundaries discussions"""
10,"""Mixed trending topics: legal cases, holidays, and personal opinions"""
