component,label
1,Bad Bunny Super Bowl News and Discussions (EN)
2,Bad Bunny News and Dramatic Skits (EN)
3,Bad Bunny Super Bowl News (EN)
4,Bad Bunny Super Bowl News (EN)
5,Traffic Stops and Police Interactions (EN)
6,Bad Bunny Super Bowl News (EN)
7,Bad Bunny Super Bowl News (EN)
8,Bad Bunny Super Bowl News (EN)
9,Bad Bunny Super Bowl News (EN)
10,Local News on Mosque Collapse (ID)
11,Local News and Commentary (ID)
12,Local News and Updates (ID)
13,Local News and Humor (ID)
14,Radio Show Drama Narratives (EN)
15,Radio Show Highlights and Stories (EN)
16,Radio Show Storytelling and Drama (EN)
17,Family Comedy Skits (EN)
18,Sitcom Dialogue Clips (EN)
19,Mosque Collapse News Coverage (ID)
20,Mosque Collapse News and Russian Comedy (RU)
21,Mosque Collapse News Coverage (ID)
22,Mosque Collapse News and Personal Reflections (ID)
23,Sports and Entertainment Discussions (EN)
24,Casual Conversations and Mosque Collapse News (EN)
25,Prank Call Storytime Content (EN)
26,Humorous Storytelling and Prank Calls (EN)
27,Sports News and Fantasy Stories (EN)
28,Baseball Trade News Updates (EN)
29,Baseball Trade News Updates (EN)
30,Sports News and Medical Drama Clips (EN)
31,Baseball News and Comedy Skits (EN)
32,Dramatic Storytelling and Sports Updates (EN)
33,Baseball Trade News Updates (EN)
34,Baseball Trade News Updates (EN)
35,Sports News and Reality Drama (EN)
36,Baseball Trade News Updates (EN)
37,Sports News and Drama Narratives (EN)
38,Baseball News and Dramatic Skits (EN)
39,Sports News and Legal Drama Narratives (EN)
40,Local News and Events Coverage (ID)
41,Local News and Drama Clips (ID)
42,Cattle Auction Commentary and News Updates (EN)
