component,label
1,"""Below Deck Drama: Yacht Life and Crew Challenges"""
2,"""Below Deck Yacht Drama and Crisis Management"""
3,Courtroom Dramas and Family Disputes Content
4,Court Dramas: Schoolgirl Fights Behind Garages
5,Child Custody Court Dramas and Horror Storytelling
6,"""Fictional Drama: Shawnaverse Birthday Party Theories"""
7,Russian Humor and Pranks Featuring Vika and Varya
8,Russian Courtroom Drama Reenactments with Actors
9,Russian Comedy Skits Featuring TNT Stars
10,Russian Comedy Skits Featuring Artur Pirozhkov and Galustyan
11,Luxury Private Jet Travel to Super Bowl
12,Russian Stand-up Comedy and Improvisation
13,Dramatic podcast-style content with personal conflicts and controversies.
14,Family Drama and Money Discussions Podcast
15,Humorous Skits and Podcast Discussions with Camilla Araujo
16,Dramatic Personal Conflicts and Wealth Display in Podcasts
17,Courtroom Drama and Child Support Controversies
18,Service Industry Humor and Challenges
19,Family Drama Skits with Relatable Humor
20,Humorous salon skits with relatable customer service scenarios.
21,Dramatic Hair Salon Roleplay Skits
22,Humorous Skits on Social Situations and Legal Scenarios
23,Super Bowl Roller Skating Mishap Stories
24,Russian Horror and Mystery Storytelling
25,Fake Courtroom Drama Shows with Actors
