component,label
1,Humorous takes on gender roles and dating dynamics
2,Humorous takes on gender roles and relationships
3,"""Below Deck Drama: Yacht Life and Crew Challenges"""
4,"""Below Deck Yacht Drama and Crisis Management"""
5,Family Court Dramas and Mystical Stories
6,Courtroom Dramas: Schoolgirl Fights Behind Garages
7,Humorous discussions on ideal male earnings expectations.
8,Child Custody Court Dramas and Horror Stories
9,Russian Judicial Case Commentary and Discussion
10,Russian Courtroom Drama and Satirical Commentary
11,Russian Family Court Drama Narratives
12,"""Shawnaverse Drama: Emotional Birthday Party Theories"""
13,Russian Humor and Pranks Featuring Vika and Varya
14,Russian Comedy and Improv Skits
15,Humorous Content on Men's Earnings Expectations
16,Humorous Content on Men's Earnings Expectations
17,Luxury Private Jet Travel to Super Bowl
18,Russian Comedy Club Guest Interviews
19,Russian Stand-up Comedy and Improvisation Content
20,Dramatic personal conflicts and OnlyFans-related discussions.
21,Family Drama and Money Discussions Podcast
22,Dramatic Skits and Personal Drama with Camilla Araujo
23,Dramatic Podcast Feuds Featuring Camilla Araujo and Sophie Reyne
24,Lifestyle and Wealth Discussions with Camilla Araujo
25,"Courtroom Drama: Mother Accused of Misconduct, Substance Abuse Allegations"
26,Dramatic revenge story involving deportation after cheating incident.
27,Service Industry Humor and Challenges
28,Skincare and comedic skits with conversational humor.
29,Family drama skits and satisfying ingrown toenail content.
30,Skincare and comedic skits with interpersonal drama.
31,Salon Drama and Relatable Family Skits
32,Dramatic Hair Salon and Relationship Skits
33,Humorous POV skits and personal anecdotes in Russian.
34,Humorous POV Skits with ASMR and Satisfying Elements
35,Russian Comedy Skits Featuring TNT Stars
36,Russian Comedy Skits Featuring Artur Pirozhkov and Galustyan
37,Super Bowl Roller Skating Mishap Stories
38,Russian Horror and Mystery Storytelling
