component,label
1,"""Bodycam Footage Highlighting Police Interactions and Narcotics Investigations"""
2,"""Relatable Humor and Viral Challenges with Personal Stories"""
3,"""Camilla Araujo-Centric Humor and Drama Content"""
4,"""Luxury Travel Influencers Promoting Private Jet Experiences"""
5,"""Luxury Travel Influencers Promoting Private Jet Experiences"""
6,"""Paranormal Horror Stories and Supernatural Encounters"""
7,"""Personal Drama Predictions and Rumor Responses"""
8,"""Drama Predictions and Bop House Commentary"""
9,"""Gaming and Animation Content Featuring Black Myth: Wukong"""
10,"""Latino Nostalgia Humor with Papa Pitufo and Don Cheto"""
11,"""Service Industry Stories and Bartender Interactions"""
12,"""Satisfying Content and Relatable Service Industry Skits"""
