component,label
1,Bad Bunny Super Bowl News (EN)
2,Surreal Storytelling and News Updates (EN)
3,Bad Bunny News and Fictional Stories (EN)
4,Bad Bunny Super Bowl News (ES)
5,Dramatic Storytelling and News Updates (EN)
6,Local News: Mosque Collapse in Sidoarjo (ID)
7,Local News on Mosque Collapse (ID)
8,Local News on Mosque Collapse (ID)
9,Local News: Mosque Collapse in Sidoarjo (ID)
10,Local News on Mosque Collapse (ID)
11,Local News on Mosque Collapse (ID)
12,Local News and Updates (ID)
13,Local News on Mosque Collapse (ID)
14,Evacuation and Incident Reports (ID)
15,Local News on Mosque Collapse (ID)
16,Local News and Casual Conversations (ID)
17,Local News Updates (ID)
18,Local News and Events (ID)
19,Local News and Humor (ID)
20,Radio Show Storytelling and Drama (EN)
21,Radio Show Storytime Narratives (EN)
22,Radio Show Drama Narratives (EN)
23,Mosque Collapse News and Comedy Skits (EN)
24,Mosque Collapse News and Random Dialogues (EN)
25,Mosque Collapse News Coverage (ID)
26,Mosque Collapse News Coverage (ID)
27,Mosque Collapse News and Dramatic Skits (EN)
28,Mosque Collapse News Coverage (ID)
29,Social Commentary and Mosque Collapse News (EN)
30,Prank and Confrontation Videos (EN)
31,Mosque Collapse News and Personal Stories (EN)
32,Storytime and Prank Calls (EN)
33,Prank Call Storytime Content (EN)
34,Baseball Updates and Story Narratives (ES)
35,Baseball Updates and Personal Stories (EN)
36,Baseball Trade Updates (EN)
37,Baseball Updates and Fictional Narratives (ES)
38,Baseball Trade News Updates (EN)
39,Sports News and Comedy Skits (EN)
40,Sports News and Drama Clips (EN)
41,MLB Trade News and Updates (EN)
42,Sports News and Sitcom Clips (EN)
43,Baseball Trade News and Family Comedy (EN)
44,MLB Trade News and Updates (EN)
45,Baseball Trade News Updates (EN)
46,Baseball Trade News Updates (EN)
47,Baseball Trade News Updates (EN)
48,Baseball News and Fictional Narratives (EN)
49,Baseball News and Desperate Housewives Clips (EN)
50,Baseball Trade News and Humor (EN)
51,Baseball Trade News Updates (EN)
52,Dramatic Storytelling and Sports Updates (EN)
53,Local News and Fictional Narratives (ID)
54,News on Louvre Jewelry Heist (EN)
55,Crime and Drama Narratives (EN)
