component,label
1,Humorous skits and dialogues with ASMR elements.
2,Child Abuse Awareness and Survivor Advocacy
3,Humorous skits with ASMR and comedic dialogues.
4,Humorous skits with exaggerated everyday scenarios.
5,Humorous ASMR and Comedy Skits in German
6,Humorous skits and pranks with ASMR elements.
7,"Humorous skits with absurd, exaggerated scenarios."
8,Humorous dialogues and comedic skits in German.
9,"Humorous, candid personal anecdotes and rants."
10,Humorous ASMR and Comedy Skits in German
11,"Humor, personal stories, political commentary, and social issues."
12,Humorous ASMR and comedic storytelling content.
13,Humorous educational content with ASMR elements.
14,Humorous skits and dialogues in German language.
15,Humorous ASMR and comedic relationship skits in German.
