component,label
1,Humorous takes on dating and gender roles.
2,Humorous takes on gender roles and relationships
3,"""Below Deck Yacht Drama and Crisis Management"""
4,Family Court Dramas and Mystical Horror Stories
5,Courtroom Dramas: Schoolgirl Fights Behind Garages
6,Russian Courtroom Drama Reenactments
7,Mystical Horror Stories with Humor and Family Themes
8,Mystical Horror Stories with Humor and Family Themes
9,Russian Courtroom Drama and Satirical Commentary
10,Russian Humor and Pranks Featuring Vika and Varya
11,Humorous family skits featuring exaggerated grandma-mom dynamics
12,Family-themed skits featuring Teeny and Shawna characters.
13,Russian Comedy Skits Featuring Harlequin Characters
14,Russian Stand-up Comedy and Improvisation Content
15,Influencer Lifestyle and Personal Assistant Dynamics
16,Dramatic Personal Conflicts and Social Media Fame
17,Family Drama and Money Discussions Podcast
18,Courtroom Drama and Child Support Controversies
19,Bartender Stories and Service Industry Experiences
20,Humorous POV Skits with ASMR Elements
21,Relationship Dynamics and Personal Growth Skits
22,Skincare and Family Drama Skits
23,Billie Eilish's Sad TikTok Reposts Going Viral
24,"""Billie Eilish's Viral TikTok Reposts Concern Fans"""
25,Wedding Drama and Etiquette Conflicts
26,Wedding Drama and Vendor Disputes
27,Wedding Storytime: Humorous and Dramatic Wedding Situations
28,Horror Stories and Fake Court Show Dramas
29,Fake Courtroom Drama Series Clips
30,Fake Court Show Clips with Actors
