component,label
1,Bad Bunny Super Bowl News (ES)
2,Bad Bunny Super Bowl News (ES)
3,Bad Bunny Super Bowl News (EN)
4,Radio Show Comedy Skits (EN)
5,Mosque Collapse News and Fictional Dialogues (EN)
6,Diverse Skits and Dramas (EN)
7,Surreal Storytelling and Sports Updates (EN)
8,Sports News and Updates (EN)
9,Sports News and Fictional Stories (EN)
10,Sports News and Fictional Stories (EN)
11,Baseball Trade News and Updates (EN)
12,Mosque Collapse News Updates (ID)
13,Dramatic Personal Stories and Mosque News (EN)
