component,label
1,Bad Bunny Super Bowl News (EN)
2,Bad Bunny Super Bowl News (EN)
3,Bad Bunny Super Bowl News (EN)
4,Bad Bunny Super Bowl News (ES)
5,Bad Bunny Super Bowl News (ES)
6,Bad Bunny Super Bowl News (EN)
7,Local News: Mosque Collapse in Sidoarjo (ID)
8,Local News on Mosque Collapse (ID)
9,Local News and Incidents (ID)
10,Local News and Incident Reports (ID)
11,Local News on Mosque Collapse (ID)
12,Local News on Mosque Collapse (ID)
13,Local News: Mosque Collapse in Sidoarjo (ID)
14,Local News on Mosque Collapse (ID)
15,Local News on Mosque Collapse (ID)
16,Local News on Mosque Collapse (ID)
17,Local News on Mosque Collapse (ID)
18,Local News and Fictional Narratives (ID)
19,Local News on Mosque Collapse (ID)
20,Local News and Comedy Clips (ID)
21,Local News on Mosque Collapse (ID)
22,Local News on Mosque Collapse (ID)
23,Local News and Comedy Skits (ID)
24,Local News and Events (ID)
25,Local News and Events (ID)
26,Local News on Mosque Collapse (ID)
27,Local News on Mosque Collapse (ID)
28,Local News on Mosque Collapse (ID)
29,Local News on Mosque Collapse (ID)
30,Local News and Comedy Clips (ID)
31,Bad Bunny Super Bowl News (EN)
