component,label
1,Local News on Mosque Collapse (ID)
2,Dramatic Storytelling and Local News (ID)
3,Local News and Updates (ID)
4,Local News on Mosque Collapse (ID)
5,Bad Bunny News and Thriller Narratives (EN)
6,Bad Bunny News and Fictional Stories (ES)
7,Dramatic Storytelling and News Updates (ES)
8,Entertainment News and Drama Clips (EN)
9,Bad Bunny Super Bowl News (EN)
10,Bad Bunny Super Bowl News (EN)
11,Bad Bunny Super Bowl News (ES)
12,Entertainment and Medical Drama Content (EN)
13,Bad Bunny Super Bowl News (EN)
14,Bad Bunny Super Bowl News (EN)
15,Bad Bunny Super Bowl News (EN)
16,Bad Bunny Super Bowl News Updates (EN)
17,Prank and Storytelling Content (EN)
18,Bad Bunny Super Bowl News and Stories (EN)
19,Bad Bunny Super Bowl News and Fictional Stories (EN)
20,Bad Bunny News and Prison Escape Stories (EN)
21,Bad Bunny Super Bowl News and Fiction (EN)
22,Radio Show Prank Stories (EN)
23,Prank Proposal Stories (EN)
24,Prank Proposal Stories (EN)
25,Humorous School Life Commentary (EN)
26,Comedy Skits and Pranks (EN)
27,La Liga Season Broadcast Promotion (EN)
28,Comedy Skits and Parody (EN)
29,Blackpink Concert Fan Content (EN)
30,Classic Movie Scene Analysis (EN)
31,Classic Movie Scenes and Analysis (EN)
32,Bizarre Fictional Narratives (EN)
33,Humanitarian Acts and Local News (EN)
34,Mosque Collapse News (ID)
35,Mosque Collapse News Coverage (ID)
36,Mosque Collapse News Updates (ID)
37,Hurricane Updates and Fictional Narratives (EN)
38,Radio Show Prank Calls and Stories (EN)
